entity_dir,track,level,method,source,coverage,gradient,mean_diff
Faxonius_limosus_alien,local_only,20,isotonic,null,0.97781,-0.05946,-0.0086
Faxonius_limosus_alien,upstream_only,3,uncalibrated,contaminated,0.98255,0.01959,0.00444
Faxonius_limosus_alien,upstream_only,3,uncalibrated,null,0.98973,-0.04038,-0.00106
Faxonius_limosus_alien,upstream_only,10,uncalibrated,contaminated,0.54583,0.10031,0.01191
Faxonius_limosus_alien,upstream_only,10,uncalibrated,null,0.98868,-0.01754,-0.00308
Faxonius_limosus_alien,upstream_only,20,uncalibrated,contaminated,0.51396,0.13789,0.02024
Faxonius_limosus_alien,upstream_only,20,uncalibrated,null,0.97955,0.023,-0.00696
Faxonius_limosus_alien,upstream_only,3,platt,contaminated,0.98274,0.03483,0.00321
Faxonius_limosus_alien,upstream_only,3,platt,null,0.99332,-0.02866,-0.00159
Faxonius_limosus_alien,upstream_only,10,platt,contaminated,0.96913,0.1086,0.00899
Faxonius_limosus_alien,upstream_only,10,platt,null,0.99132,-0.0072,-0.00341
Faxonius_limosus_alien,upstream_only,20,platt,contaminated,0.51676,0.19233,0.01586
Faxonius_limosus_alien,upstream_only,20,platt,null,0.98145,0.02407,-0.00702
Faxonius_limosus_alien,upstream_only,3,isotonic,contaminated,0.98025,-0.05341,0.00113
Faxonius_limosus_alien,upstream_only,3,isotonic,null,0.98868,-0.08452,-0.00107
Faxonius_limosus_alien,upstream_only,10,isotonic,contaminated,0.96778,0.0266,0.01414
Faxonius_limosus_alien,upstream_only,10,isotonic,null,0.98668,-0.0526,-0.00238
Faxonius_limosus_alien,upstream_only,20,isotonic,contaminated,0.51775,0.12678,0.0473
Faxonius_limosus_alien,upstream_only,20,isotonic,null,0.97925,-0.0528,-0.00513
Pacifastacus_leniusculus_alien,combined,3,uncalibrated,contaminated,0.96967,0.35073,0.01052
Pacifastacus_leniusculus_alien,combined,3,uncalibrated,null,0.9965,-0.01482,-0.0006
Pacifastacus_leniusculus_alien,combined,10,uncalibrated,contaminated,0.9043,0.42897,0.0289
Pacifastacus_leniusculus_alien,combined,10,uncalibrated,null,0.99613,-0.0287,-0.00243
Pacifastacus_leniusculus_alien,combined,20,uncalibrated,contaminated,0.85879,0.48398,0.04582
Pacifastacus_leniusculus_alien,combined,20,uncalibrated,null,0.99474,0.2008,-0.00372
Pacifastacus_leniusculus_alien,combined,3,platt,contaminated,0.97717,0.35915,0.00982
Pacifastacus_leniusculus_alien,combined,3,platt,null,0.99672,-0.14272,-0.00078
Pacifastacus_leniusculus_alien,combined,10,platt,contaminated,0.92243,0.42897,0.02629
Pacifastacus_leniusculus_alien,combined,10,platt,null,0.99578,-0.1004,-0.00239
Pacifastacus_leniusculus_alien,combined,20,platt,contaminated,0.87794,0.46796,0.04118
Pacifastacus_leniusculus_alien,combined,20,platt,null,0.99445,0.18892,-0.00391
Pacifastacus_leniusculus_alien,combined,3,isotonic,contaminated,0.96841,-0.14134,0.00876
Pacifastacus_leniusculus_alien,combined,3,isotonic,null,0.99386,-0.25549,-0.0012
Pacifastacus_leniusculus_alien,combined,10,isotonic,contaminated,0.91273,0.05424,0.02604
Pacifastacus_leniusculus_alien,combined,10,isotonic,null,0.99236,-0.19085,-0.0026
Pacifastacus_leniusculus_alien,combined,20,isotonic,contaminated,0.86985,0.27987,0.04482
Pacifastacus_leniusculus_alien,combined,20,isotonic,null,0.99052,-0.1422,-0.00414
Pacifastacus_leniusculus_alien,local_only,3,uncalibrated,contaminated,0.97375,0.4741,0.0105
Pacifastacus_leniusculus_alien,local_only,3,uncalibrated,null,0.99832,0.12857,-0.0005
Pacifastacus_leniusculus_alien,local_only,10,uncalibrated,contaminated,0.90854,0.52243,0.02854
Pacifastacus_leniusculus_alien,local_only,10,uncalibrated,null,0.99677,0.03872,-0.00243
Pacifastacus_leniusculus_alien,local_only,20,uncalibrated,contaminated,0.86381,0.55154,0.04419
Pacifastacus_leniusculus_alien,local_only,20,uncalibrated,null,0.99565,0.14112,-0.00373
Pacifastacus_leniusculus_alien,local_only,3,platt,contaminated,0.96817,0.48344,0.01243
Pacifastacus_leniusculus_alien,local_only,3,platt,null,0.99797,0.2757,-0.00048
Pacifastacus_leniusculus_alien,local_only,10,platt,contaminated,0.90873,0.51656,0.03141
Pacifastacus_leniusculus_alien,local_only,10,platt,null,0.99623,0.18344,-0.0025
Pacifastacus_leniusculus_alien,local_only,20,platt,contaminated,0.85957,0.54619,0.04703
Pacifastacus_leniusculus_alien,local_only,20,platt,null,0.99495,0.11295,-0.00412
Pacifastacus_leniusculus_alien,local_only,3,isotonic,contaminated,0.9694,-0.28603,0.0072
Pacifastacus_leniusculus_alien,local_only,3,isotonic,null,0.98702,-0.3223,-0.00081
Pacifastacus_leniusculus_alien,local_only,10,isotonic,contaminated,0.92235,-0.09969,0.02231
Pacifastacus_leniusculus_alien,local_only,10,isotonic,null,0.98563,-0.28065,-0.00223
Pacifastacus_leniusculus_alien,local_only,20,isotonic,contaminated,0.86555,0.08082,0.03813
Pacifastacus_leniusculus_alien,local_only,20,isotonic,null,0.98406,-0.23632,-0.00381
Pacifastacus_leniusculus_alien,upstream_only,3,uncalibrated,contaminated,0.99426,0.11397,0.00558
Pacifastacus_leniusculus_alien,upstream_only,3,uncalibrated,null,0.99813,0.233,-0.0002
