bin,n,frac_over_mean,frac_over_median,entity_dir,track,level,mask
2,2130,0.94319,0.8892,Austropotamobius_torrentium_pooled,local_only,20,never_trained
3,2130,0.74695,0.78028,Austropotamobius_torrentium_pooled,local_only,20,never_trained
4,2130,0.47934,0.58075,Austropotamobius_torrentium_pooled,local_only,20,never_trained
0,2375,0.93516,0.64,Austropotamobius_torrentium_pooled,local_only,3,all
1,2374,0.93345,0.67439,Austropotamobius_torrentium_pooled,local_only,3,all
2,2374,0.86184,0.68281,Austropotamobius_torrentium_pooled,local_only,3,all
3,2374,0.71314,0.74052,Austropotamobius_torrentium_pooled,local_only,3,all
4,2375,0.47747,0.624,Austropotamobius_torrentium_pooled,local_only,3,all
0,2163,0.93481,0.64771,Austropotamobius_torrentium_pooled,local_only,3,never_trained
1,2163,0.93065,0.67822,Austropotamobius_torrentium_pooled,local_only,3,never_trained
2,2162,0.85615,0.69426,Austropotamobius_torrentium_pooled,local_only,3,never_trained
3,2163,0.70966,0.75913,Austropotamobius_torrentium_pooled,local_only,3,never_trained
4,2163,0.4711,0.6061,Austropotamobius_torrentium_pooled,local_only,3,never_trained
0,2375,0.88126,0.36547,Austropotamobius_torrentium_pooled,upstream_only,10,all
1,2374,0.63395,0.50168,Austropotamobius_torrentium_pooled,upstream_only,10,all
2,2374,0.93808,0.93639,Austropotamobius_torrentium_pooled,upstream_only,10,all
3,2374,1.0,1.0,Austropotamobius_torrentium_pooled,upstream_only,10,all
4,2375,0.75411,0.80547,Austropotamobius_torrentium_pooled,upstream_only,10,all
0,2150,0.87953,0.36419,Austropotamobius_torrentium_pooled,upstream_only,10,never_trained
1,2149,0.63844,0.51605,Austropotamobius_torrentium_pooled,upstream_only,10,never_trained
2,2149,0.94276,0.9423,Austropotamobius_torrentium_pooled,upstream_only,10,never_trained
3,2149,1.0,1.0,Austropotamobius_torrentium_pooled,upstream_only,10,never_trained
4,2150,0.74372,0.79535,Austropotamobius_torrentium_pooled,upstream_only,10,never_trained
0,2375,0.83874,0.45305,Austropotamobius_torrentium_pooled,upstream_only,20,all
1,2374,0.55644,0.49789,Austropotamobius_torrentium_pooled,upstream_only,20,all
2,2374,0.92207,0.9326,Austropotamobius_torrentium_pooled,upstream_only,20,all
3,2374,1.0,1.0,Austropotamobius_torrentium_pooled,upstream_only,20,all
4,2375,0.72589,0.78358,Austropotamobius_torrentium_pooled,upstream_only,20,all
0,2130,0.83615,0.45023,Austropotamobius_torrentium_pooled,upstream_only,20,never_trained
1,2130,0.55775,0.50704,Austropotamobius_torrentium_pooled,upstream_only,20,never_trained
2,2130,0.92207,0.93192,Austropotamobius_torrentium_pooled,upstream_only,20,never_trained
3,2130,1.0,1.0,Austropotamobius_torrentium_pooled,upstream_only,20,never_trained
4,2130,0.7108,0.76948,Austropotamobius_torrentium_pooled,upstream_only,20,never_trained
0,2375,0.79916,0.26358,Austropotamobius_torrentium_pooled,upstream_only,3,all
1,2374,0.62005,0.43345,Austropotamobius_torrentium_pooled,upstream_only,3,all
2,2374,0.92586,0.09436,Austropotamobius_torrentium_pooled,upstream_only,3,all
3,2374,1.0,0.0,Austropotamobius_torrentium_pooled,upstream_only,3,all
4,2375,0.69474,0.40168,Austropotamobius_torrentium_pooled,upstream_only,3,all
0,2163,0.7938,0.26537,Austropotamobius_torrentium_pooled,upstream_only,3,never_trained
1,2163,0.62367,0.45169,Austropotamobius_torrentium_pooled,upstream_only,3,never_trained
2,2162,0.93432,0.08326,Austropotamobius_torrentium_pooled,upstream_only,3,never_trained
3,2163,1.0,0.0,Austropotamobius_torrentium_pooled,upstream_only,3,never_trained
4,2163,0.67638,0.42441,Austropotamobius_torrentium_pooled,upstream_only,3,never_trained
0,4011,0.95338,0.6193,Faxonius_limosus_alien,combined,10,all
1,4010,0.81571,0.68404,Faxonius_limosus_alien,combined,10,all
2,4010,0.62319,0.56983,Faxonius_limosus_alien,combined,10,all
3,4010,0.52195,0.52793,Faxonius_limosus_alien,combined,10,all
4,4011,0.36899,0.40189,Faxonius_limosus_alien,combined,10,all
0,3193,0.95553,0.67867,Faxonius_limosus_alien,combined,10,never_trained
1,3193,0.80113,0.71187,Faxonius_limosus_alien,combined,10,never_trained
2,3193,0.601,0.60132,Faxonius_limosus_alien,combined,10,never_trained
3,3193,0.50298,0.51237,Faxonius_limosus_alien,combined,10,never_trained
4,3193,0.34043,0.37112,Faxonius_limosus_alien,combined,10,never_trained
0,4011,0.95836,0.77238,Faxonius_limosus_alien,combined,20,all
1,4010,0.81895,0.72643,Faxonius_limosus_alien,combined,20,all
2,4010,0.60249,0.57307,Faxonius_limosus_alien,combined,20,all
3,4010,0.45436,0.47282,Faxonius_limosus_alien,combined,20,all
4,4011,0.29419,0.33059,Faxonius_limosus_alien,combined,20,all
0,3138,0.95889,0.81612,Faxonius_limosus_alien,combined,20,never_trained
1,3137,0.7963,0.7402,Faxonius_limosus_alien,combined,20,never_trained
2,3137,0.56901,0.5738,Faxonius_limosus_alien,combined,20,never_trained
3,3137,0.42302,0.4431,Faxonius_limosus_alien,combined,20,never_trained
4,3137,0.26172,0.2904,Faxonius_limosus_alien,combined,20,never_trained
0,4011,0.93169,0.43954,Faxonius_limosus_alien,combined,3,all
1,4010,0.77581,0.6202,Faxonius_limosus_alien,combined,3,all
2,4010,0.61895,0.55237,Faxonius_limosus_alien,combined,3,all
3,4010,0.53017,0.53965,Faxonius_limosus_alien,combined,3,all
4,4011,0.41212,0.44303,Faxonius_limosus_alien,combined,3,all
0,3232,0.93069,0.49319,Faxonius_limosus_alien,combined,3,never_trained
1,3232,0.77321,0.67884,Faxonius_limosus_alien,combined,3,never_trained
2,3232,0.60582,0.6117,Faxonius_limosus_alien,combined,3,never_trained
3,3232,0.52073,0.54672,Faxonius_limosus_alien,combined,3,never_trained
4,3232,0.39759,0.42358,Faxonius_limosus_alien,combined,3,never_trained
0,4011,0.85939,0.65071,Faxonius_limosus_alien,local_only,10,all
1,4010,0.71172,0.66334,Faxonius_limosus_alien,local_only,10,all
2,4010,0.61297,0.7005,Faxonius_limosus_alien,local_only,10,all
3,4010,0.50075,0.63641,Faxonius_limosus_alien,local_only,10,all
4,4011,0.3812,0.40987,Faxonius_limosus_alien,local_only,10,all
