cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L20,random_forest,0.33788,0.25733,0.04432,-0.02996,0.4849,0.51296,0.83833,-0.60687,0.4801,0.52555,0.50491,-0.31565,Austropotamobius_fulcisianus_pooled,local_only,20
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L20,xgboost,0.38397,0.35165,-0.31092,0.11689,0.44826,0.48683,0.59846,-0.58411,0.45253,0.51196,0.33729,-0.25392,Austropotamobius_fulcisianus_pooled,local_only,20
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L3,glm,0.21994,0.13836,-0.02701,0.5366,0.31258,0.25591,0.16604,-0.47094,0.30623,0.21497,0.08086,-0.18654,Austropotamobius_fulcisianus_pooled,local_only,3
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L3,gam,0.30265,0.22327,-0.09248,0.10848,0.3843,0.44255,0.57462,-1.50989,0.40951,0.44974,0.31808,-0.97154,Austropotamobius_fulcisianus_pooled,local_only,3
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L3,random_forest,0.3021,0.22311,-0.40017,0.36051,0.45667,0.49965,0.52965,-0.57742,0.45845,0.50079,0.0957,-0.09288,Austropotamobius_fulcisianus_pooled,local_only,3
Austropotamobius_fulcisianus_pooled__consensus__local_only__lowacc__L3,xgboost,0.33512,0.31491,-0.69268,0.29676,0.39078,0.40163,0.21453,-0.34827,0.40078,0.41576,0.0181,-0.0384,Austropotamobius_fulcisianus_pooled,local_only,3
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__benchmark__L0,glm,0.26468,0.07751,-0.02028,0.12084,0.30943,0.33407,0.25893,-2.4309,0.32654,0.33287,0.03774,-0.56631,Austropotamobius_fulcisianus_pooled,upstream_only,0
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__benchmark__L0,gam,0.29286,0.26317,0.09072,0.10902,0.31601,0.32638,0.57794,-2.31503,0.32233,0.30151,0.01622,-0.7469,Austropotamobius_fulcisianus_pooled,upstream_only,0
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__benchmark__L0,random_forest,0.21588,0.13171,-0.18161,1.3152,0.27509,0.25497,-0.03664,0.27332,0.28979,0.29768,-0.03071,0.16748,Austropotamobius_fulcisianus_pooled,upstream_only,0
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__benchmark__L0,xgboost,0.25246,0.24558,-0.11812,0.38796,0.28,0.24267,-0.01938,0.15895,0.29629,0.31269,-0.04817,0.13613,Austropotamobius_fulcisianus_pooled,upstream_only,0
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L10,glm,0.26121,0.06622,-0.02779,0.1884,0.30763,0.33719,0.29284,-1.99691,0.32059,0.33152,0.06262,-0.34154,Austropotamobius_fulcisianus_pooled,upstream_only,10
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L10,gam,0.28835,0.24534,0.06078,0.11994,0.33601,0.35995,0.64746,-1.99667,0.33052,0.2903,0.09508,-0.45633,Austropotamobius_fulcisianus_pooled,upstream_only,10
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L10,random_forest,0.23164,0.12155,-0.17244,0.91989,0.28719,0.23244,-0.00152,0.01007,0.27974,0.23953,-0.06664,0.16435,Austropotamobius_fulcisianus_pooled,upstream_only,10
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L10,xgboost,0.26191,0.25616,-0.1254,0.35216,0.27971,0.20866,-0.01378,0.09182,0.28678,0.27286,0.00099,0.11218,Austropotamobius_fulcisianus_pooled,upstream_only,10
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L20,glm,0.31278,0.14236,0.06589,-0.10532,0.39674,0.46068,0.88091,-1.57405,0.43016,0.45908,0.31142,-0.22285,Austropotamobius_fulcisianus_pooled,upstream_only,20
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L20,gam,0.39832,0.39591,0.30023,-0.38968,0.38713,0.43508,1.48394,-1.96178,0.42422,0.47916,0.36195,-0.47501,Austropotamobius_fulcisianus_pooled,upstream_only,20
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L20,random_forest,0.30349,0.21483,0.08443,-0.15543,0.44969,0.50995,0.84557,-0.90485,0.45787,0.5049,0.31546,-0.16561,Austropotamobius_fulcisianus_pooled,upstream_only,20
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L20,xgboost,0.39443,0.41018,0.06671,-0.04658,0.45529,0.50991,0.97185,-1.01176,0.44373,0.49645,0.27347,-0.23447,Austropotamobius_fulcisianus_pooled,upstream_only,20
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L3,glm,0.33041,0.17759,0.08662,-0.1576,0.39128,0.44115,0.91422,-1.98242,0.4248,0.46848,0.26689,-0.25823,Austropotamobius_fulcisianus_pooled,upstream_only,3
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L3,gam,0.42228,0.43064,0.2449,-0.32466,0.38718,0.43768,1.24817,-1.99823,0.43519,0.48152,0.64054,-1.06814,Austropotamobius_fulcisianus_pooled,upstream_only,3
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L3,random_forest,0.28369,0.21574,-0.0578,0.105,0.43867,0.4912,0.62914,-0.95048,0.42477,0.47902,0.05303,-0.04128,Austropotamobius_fulcisianus_pooled,upstream_only,3
Austropotamobius_fulcisianus_pooled__consensus__upstream_only__lowacc__L3,xgboost,0.37032,0.37965,-0.07953,0.05879,0.43469,0.48308,0.68321,-1.07301,0.40757,0.45717,0.01468,-0.035,Austropotamobius_fulcisianus_pooled,upstream_only,3
Austropotamobius_torrentium_pooled__consensus__combined__benchmark__L0,glm,0.19643,0.04483,0.01983,0.64195,0.23248,0.07162,0.05436,0.47224,0.22429,0.11575,0.0531,0.38138,Austropotamobius_torrentium_pooled,combined,0
Austropotamobius_torrentium_pooled__consensus__combined__benchmark__L0,gam,0.21743,0.08249,0.10238,0.33337,0.27376,0.21703,0.03598,0.12827,0.29,0.25685,0.04988,0.16169,Austropotamobius_torrentium_pooled,combined,0
Austropotamobius_torrentium_pooled__consensus__combined__benchmark__L0,random_forest,0.16337,0.07618,0.28732,1.17971,0.18354,0.11285,0.09855,0.74934,0.2067,0.1635,0.1322,0.43708,Austropotamobius_torrentium_pooled,combined,0
Austropotamobius_torrentium_pooled__consensus__combined__benchmark__L0,xgboost,0.17453,0.13517,0.01614,0.41511,0.16441,0.03863,0.00645,0.89031,0.17559,0.10169,0.1295,0.60853,Austropotamobius_torrentium_pooled,combined,0
