binning,bin,frac_over,mean_diff,n,entity,entity_dir,track,level,source
bland_altman,0,0.95928,0.00606,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
bland_altman,1,0.90681,0.01146,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
bland_altman,2,0.6356,0.01641,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
bland_altman,3,0.56956,0.01095,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
bland_altman,4,0.52136,0.00764,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,contaminated
benchmark,0,0.56582,0.00019,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
benchmark,1,0.53551,0.0005,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
benchmark,2,0.49419,0.00063,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
benchmark,3,0.47503,-0.00045,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
benchmark,4,0.43725,-0.00338,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
bland_altman,0,0.55461,0.00011,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
bland_altman,1,0.53832,0.00047,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
bland_altman,2,0.49312,0.0005,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
bland_altman,3,0.46742,-0.00116,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
bland_altman,4,0.45434,-0.00242,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,3,null
benchmark,0,0.97543,0.02658,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
benchmark,1,0.94526,0.0417,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
benchmark,2,0.6567,0.03983,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
benchmark,3,0.53551,0.02975,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
benchmark,4,0.453,0.00483,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
bland_altman,0,0.95794,0.01779,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
bland_altman,1,0.91482,0.02326,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
bland_altman,2,0.63093,0.04829,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
bland_altman,3,0.55487,0.03458,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
bland_altman,4,0.50734,0.01877,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,contaminated
benchmark,0,0.44085,-0.00037,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
benchmark,1,0.37877,-0.00085,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
benchmark,2,0.37468,-0.00176,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
benchmark,3,0.4024,-0.00284,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
benchmark,4,0.40214,-0.00634,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
bland_altman,0,0.42684,-0.0005,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
bland_altman,1,0.38411,-0.00088,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
bland_altman,2,0.37121,-0.00193,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
bland_altman,3,0.39733,-0.00357,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
bland_altman,4,0.41936,-0.00527,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,10,null
benchmark,0,0.98211,0.04285,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
benchmark,1,0.95714,0.06541,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
benchmark,2,0.67873,0.06401,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
benchmark,3,0.5231,0.04528,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
benchmark,4,0.43057,0.0034,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
bland_altman,0,0.96275,0.02813,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
bland_altman,1,0.91842,0.03562,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
bland_altman,2,0.61877,0.06277,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
bland_altman,3,0.55434,0.06018,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
bland_altman,4,0.51736,0.03423,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,contaminated
benchmark,0,0.47864,-0.00011,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,null
benchmark,1,0.46368,-0.00044,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,null
benchmark,2,0.37815,-0.00202,7489,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,null
benchmark,3,0.36996,-0.00525,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,null
benchmark,4,0.33752,-0.01084,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,null
bland_altman,0,0.46368,-0.00026,7490,Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,local_only,20,null
