entity,algorithm,track,axis,level,auc_mean,tss_mean,brier_mean,boyce_mean,auc_std,tss_std,brier_std,boyce_std,n_reps_ok,min_folds,benchmark_presence_n,segments,auc_clean,tss_clean,brier_clean,boyce_clean,delta_auc,delta_tss,delta_brier,delta_boyce
Faxonius limosus (alien),xgboost,local_only,benchmark,0,0.7922,0.4644,0.1895,0.9806,,,,,1,5.0,3811.0,20052.0,0.7922,0.4644,0.1895,0.9806,0.0,0.0,0.0,0.0
Faxonius limosus (alien),xgboost,local_only,lowacc,3,0.7858,0.4274,0.1961,0.9846,0.0085,0.0183,0.0048,0.0179,30,5.0,3811.0,20052.0,0.7922,0.4644,0.1895,0.9806,-0.0065,-0.037,0.0066,0.004
Faxonius limosus (alien),xgboost,local_only,lowacc,10,0.7699,0.397,0.2023,0.9886,0.0131,0.0221,0.007,0.0135,30,5.0,3811.0,20052.0,0.7922,0.4644,0.1895,0.9806,-0.0224,-0.0674,0.0128,0.008
Faxonius limosus (alien),xgboost,local_only,lowacc,20,0.7462,0.3635,0.2066,0.9811,0.0156,0.0273,0.0065,0.0217,30,5.0,3811.0,20052.0,0.7922,0.4644,0.1895,0.9806,-0.0461,-0.1009,0.0171,0.0005
Faxonius limosus (alien),xgboost,upstream_only,benchmark,0,0.7289,0.3706,0.2126,0.9564,,,,,1,5.0,3811.0,20052.0,0.7289,0.3706,0.2126,0.9564,0.0,0.0,0.0,0.0
Faxonius limosus (alien),xgboost,upstream_only,lowacc,3,0.7315,0.3537,0.2127,0.9597,0.0077,0.0122,0.0039,0.0165,30,5.0,3811.0,20052.0,0.7289,0.3706,0.2126,0.9564,0.0026,-0.017,0.0001,0.0034
Faxonius limosus (alien),xgboost,upstream_only,lowacc,10,0.7161,0.318,0.2171,0.9626,0.0096,0.0151,0.0042,0.0172,30,5.0,3811.0,20052.0,0.7289,0.3706,0.2126,0.9564,-0.0128,-0.0526,0.0044,0.0063
Faxonius limosus (alien),xgboost,upstream_only,lowacc,20,0.6907,0.2723,0.2215,0.9666,0.0135,0.0186,0.0053,0.0226,30,5.0,3811.0,20052.0,0.7289,0.3706,0.2126,0.9564,-0.0383,-0.0983,0.0088,0.0103
Pacifastacus leniusculus (alien),random_forest,combined,benchmark,0,0.8734,0.5732,0.1451,0.9927,,,,,1,5.0,4171.0,37449.0,0.8734,0.5732,0.1451,0.9927,0.0,0.0,0.0,0.0
Pacifastacus leniusculus (alien),random_forest,combined,lowacc,3,0.8641,0.5641,0.1509,0.9734,0.0134,0.0425,0.0057,0.0199,30,5.0,4171.0,37449.0,0.8734,0.5732,0.1451,0.9927,-0.0093,-0.0091,0.0059,-0.0193
