model,auc,brier,sensitivity,specificity,tss,boyce,n_folds,entity,entity_dir,track,level,n_presence,n_contaminant
consensus_mean,0.7703,0.1595,0.6512,0.6881,0.3392,0.6037,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,20,1032,206
consensus_median,0.7658,0.1645,0.639,0.7243,0.3633,0.7,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,20,1032,206
gam,0.7176,0.2031,0.6353,0.7018,0.3371,0.5652,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,20,1032,206
glm,0.7269,0.1886,0.6352,0.692,0.3272,0.8183,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,20,1032,206
random_forest,0.7692,0.1647,0.5907,0.7259,0.3166,0.7824,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,20,1032,206
xgboost,0.7996,0.1684,0.6665,0.6701,0.3366,0.0932,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,20,1032,206
consensus_mean,0.8599,0.1772,0.6901,0.7602,0.4502,0.9339,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,3,1032,31
consensus_median,0.8555,0.1812,0.683,0.7718,0.4547,0.8473,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,3,1032,31
gam,0.7928,0.22,0.6576,0.7371,0.3947,0.8667,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,3,1032,31
glm,0.7901,0.2011,0.6882,0.6938,0.3821,0.9345,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,3,1032,31
random_forest,0.8593,0.1757,0.6646,0.8106,0.4751,0.7982,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,3,1032,31
xgboost,0.851,0.2018,0.697,0.7589,0.4559,0.5011,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,combined,3,1032,31
consensus_mean,0.8492,0.1792,0.724,0.7522,0.4762,0.8321,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,0,1032,0
consensus_median,0.8489,0.1837,0.7153,0.7672,0.4825,0.8376,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,0,1032,0
gam,0.801,0.2337,0.6676,0.7346,0.4023,0.638,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,0,1032,0
glm,0.777,0.2113,0.7074,0.7043,0.4117,0.76,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,0,1032,0
random_forest,0.856,0.1678,0.6871,0.8033,0.4904,0.8456,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,0,1032,0
xgboost,0.8669,0.1922,0.7226,0.7346,0.4572,0.62,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,0,1032,0
consensus_mean,0.7816,0.1819,0.741,0.6902,0.4311,0.7503,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,10,1032,103
consensus_median,0.776,0.1866,0.7369,0.6935,0.4303,0.7768,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,10,1032,103
gam,0.7468,0.219,0.6606,0.7206,0.3812,0.7047,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,10,1032,103
glm,0.7332,0.1971,0.6742,0.7051,0.3793,0.8234,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,10,1032,103
random_forest,0.7807,0.1897,0.7194,0.6991,0.4185,0.8004,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,10,1032,103
xgboost,0.7924,0.2037,0.7379,0.6605,0.3983,0.46,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,10,1032,103
consensus_mean,0.7586,0.1634,0.6461,0.6828,0.3289,0.5439,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,20,1032,206
consensus_median,0.7528,0.1687,0.6385,0.6829,0.3214,0.5812,5,Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,local_only,20,1032,206
